,daily,daily_lower,daily_upper,ds,y,yhat_lower,yhat_upper
166,0.341564937,0.341564937,0.341564937,07/01/2016 22:00,187.7942119,49.11951415,706.6443516
167,0.39802779,0.39802779,0.39802779,07/01/2016 23:00,218.8415085,50.44654039,755.1808477
168,0.297424502,0.297424502,0.297424502,08/01/2016 0:00,163.5311283,42.66009109,731.5161761
169,0.208980286,0.208980286,0.208980286,08/01/2016 1:00,114.9043298,27.79172213,422.7464066
170,0.209676084,0.209676084,0.209676084,08/01/2016 2:00,115.2888631,29.56329628,411.407549
171,0.298980377,0.298980377,0.298980377,08/01/2016 3:00,164.3949716,44.10478714,604.8781757
172,0.400166708,0.400166708,0.400166708,08/01/2016 4:00,220.0362241,60.39288058,837.3215886
173,0.349454434,0.349454434,0.349454434,08/01/2016 5:00,192.1547695,54.29117505,726.1408362
174,0.223838116,0.223838116,0.223838116,08/01/2016 6:00,123.0841243,32.4612155,467.6407294
175,0.181463762,0.181463762,0.181463762,08/01/2016 7:00,99.78500714,26.68930634,403.7150613
176,0.299420658,0.299420658,0.299420658,08/01/2016 8:00,164.6510589,46.11087819,633.1871436
177,0.953564268,0.953564268,0.953564268,08/01/2016 9:00,524.3727586,131.1545092,2105.994939
178,3.394266679,3.394266679,3.394266679,08/01/2016 10:00,1866.566636,503.7619331,7024.097147
179,7.800109498,7.800109498,7.800109498,08/01/2016 11:00,4289.48963,1183.235398,16718.37193
180,10.54663655,10.54663655,10.54663655,08/01/2016 12:00,5799.977218,1480.896183,22340.67063
181,11.81315606,11.81315606,11.81315606,08/01/2016 13:00,6496.592613,1897.761121,25816.27704
182,15.05782282,15.05782282,15.05782282,08/01/2016 14:00,8281.123472,2139.726731,30004.88571
183,19.41787295,19.41787295,19.41787295,08/01/2016 15:00,10679.136,3053.02632,43181.36622
184,15.7371823,15.7371823,15.7371823,08/01/2016 16:00,8655.034889,2238.720582,33916.3387
185,5.766906697,5.766906697,5.766906697,08/01/2016 17:00,3171.7004,931.9370272,11995.42879
186,1.220493962,1.220493962,1.220493962,08/01/2016 18:00,671.2622927,186.8038924,2834.766515
187,0.305739574,0.305739574,0.305739574,08/01/2016 19:00,168.1572737,45.40287337,631.4435846
188,0.169067288,0.169067288,0.169067288,08/01/2016 20:00,92.98887051,24.68978889,333.9103958
189,0.210787712,0.210787712,0.210787712,08/01/2016 21:00,115.9375349,30.91853883,424.9478408
190,0.341564937,0.341564937,0.341564937,08/01/2016 22:00,187.8708667,44.76877427,763.095988
191,0.39802779,0.39802779,0.39802779,08/01/2016 23:00,218.9308363,55.80940835,782.431992
192,0.297424502,0.297424502,0.297424502,09/01/2016 0:00,163.5978793,42.70955981,642.5450448
193,0.208980286,0.208980286,0.208980286,09/01/2016 1:00,114.9512321,30.16207996,435.7140603
194,0.209676084,0.209676084,0.209676084,09/01/2016 2:00,115.3359223,32.70993082,470.4990106
195,0.298980377,0.298980377,0.298980377,09/01/2016 3:00,164.4620752,43.12825681,624.6192636
196,0.400166708,0.400166708,0.400166708,09/01/2016 4:00,220.1260396,57.42597282,929.7188499
197,0.349454434,0.349454434,0.349454434,09/01/2016 5:00,192.2332043,50.84941254,740.5559179
198,0.223838116,0.223838116,0.223838116,09/01/2016 6:00,123.1343654,32.91576343,452.6923228
199,0.181463762,0.181463762,0.181463762,09/01/2016 7:00,99.8257379,28.46348197,400.0122756
200,0.299420658,0.299420658,0.299420658,09/01/2016 8:00,164.718267,41.56065972,633.91497
